District,Rainfall_2023_mm,Normal_Rainfall_mm,Extraction_Status,TDS/EC_Level,Nitrate_Status,Fluoride_Status,PH,TDS_mg_L,Calcium_mg_L,Magnesium_mg_L,Chloride_mg_L,Nitrate_mg_L,Fluoride_mg_L
Mahisagar,946.6,1003.3,Safe,Very High,Within Limit,Within Limit,7.53,3469,107.7,71.5,957,10.4,0.76
Surendranagar,746.5,698.5,Safe,Moderate,Within Limit,Within Limit,8.19,1143,67.7,46.9,312,12.1,0.69
Dang,1959.5,2124.1,Safe,Moderate,Within Limit,Within Limit,7.14,670,79.9,25.7,299,35.7,1.05
Amreli,679.1,675.5,Safe,Moderate,Above Limit,Within Limit,7.41,742,48.1,42.7,262,63.5,0.44
Ahmedabad,666.4,582.8,Over-Exploited,Moderate,Within Limit,Within Limit,7.98,704,97.7,49.3,105,17.6,0.78
Surat,1630.7,1533.7,Over-Exploited,Moderate,Within Limit,Within Limit,7.82,1031,91.0,53.1,290,27.3,0.22
Vadodara,1111.5,929.2,Over-Exploited,High,Within Limit,Within Limit,7.67,2216,119.8,81.4,588,44.0,1.05
Rajkot,751.5,643.4,Over-Exploited,Moderate,Within Limit,Within Limit,7.14,1064,34.1,32.0,281,19.2,1.05
Gandhinagar,620.7,727.0,Safe,Moderate,Within Limit,Within Limit,7.01,854,50.5,47.7,272,29.7,1.13
Bhavnagar,708.0,625.9,Semi-Critical,Low,Within Limit,Within Limit,6.98,461,77.2,40.1,100,10.3,1.0
Jamnagar,554.6,632.5,Safe,Moderate,Above Limit,Within Limit,7.04,544,28.5,58.6,205,50.5,0.67
Junagadh,732.5,828.7,Safe,Low,Within Limit,Within Limit,7.19,473,38.5,31.3,122,40.2,1.1
Kutch,363.3,334.7,Saline,Moderate,Above Limit,Within Limit,6.89,1446,87.0,53.2,400,59.2,1.21
Banaskantha,510.3,551.7,Safe,Moderate,Within Limit,Within Limit,6.98,977,64.9,49.6,223,10.6,1.04
Patan,549.4,486.9,Safe,Moderate,Within Limit,Within Limit,7.33,703,79.1,38.5,248,9.6,0.16
Mehsana,452.2,484.1,Over-Exploited,High,Within Limit,Within Limit,8.26,1917,86.5,48.9,556,23.9,0.93
Sabarkantha,527.9,686.4,Safe,Moderate,Within Limit,Within Limit,7.38,901,46.2,52.2,334,31.3,0.63
Aravalli,682.4,763.3,Semi-Critical,Low,Within Limit,Above Limit,7.36,348,36.9,33.2,133,10.4,2.56
Anand,783.2,764.1,Safe,Moderate,Within Limit,Within Limit,7.78,713,67.6,21.7,262,6.0,0.48
Kheda,706.9,749.4,Semi-Critical,Moderate,Within Limit,Within Limit,7.23,650,75.5,29.6,247,10.2,0.37
Panchmahal,771.8,817.0,Safe,Moderate,Within Limit,Within Limit,7.39,1433,79.4,50.9,311,5.1,0.44
Dahod,1321.0,1009.1,Safe,High,Above Limit,Within Limit,8.16,2534,86.4,94.3,627,74.6,1.04
Bharuch,1229.1,1014.0,Safe,High,Within Limit,Within Limit,6.98,2108,108.7,32.6,545,14.7,0.63
Narmada,1160.8,1361.2,Safe,Moderate,Above Limit,Within Limit,7.7,699,47.7,27.2,314,58.7,0.62
Tapi,2004.4,1708.6,Safe,Moderate,Within Limit,Within Limit,7.72,627,64.1,19.1,207,16.4,0.46
Navsari,1709.4,1754.8,Saline,High,Above Limit,Within Limit,7.82,2874,138.3,71.8,725,58.4,0.75
Valsad,1948.7,1910.4,Safe,Low,Above Limit,Above Limit,7.21,268,54.6,22.2,147,47.4,2.21
Botad,594.0,615.2,Safe,Moderate,Within Limit,Within Limit,7.62,532,33.3,32.1,206,12.1,0.62
Chhota Udaipur,1178.5,1185.9,Safe,High,Within Limit,Within Limit,8.05,1638,103.4,50.2,586,2.6,0.32
Devbhoomi Dwarka,844.1,658.5,Semi-Critical,Moderate,Within Limit,Within Limit,7.47,1205,74.8,56.4,444,36.4,0.83
Gir Somnath,1124.3,1086.1,Safe,Moderate,Within Limit,Within Limit,7.79,1086,63.0,46.0,331,7.7,0.42
Morbi,626.8,548.7,Safe,Moderate,Within Limit,Within Limit,7.45,711,80.4,50.1,268,21.1,0.74
Porbandar,718.9,758.4,Safe,High,Within Limit,Within Limit,7.17,1809,90.5,67.8,692,4.2,1.34
Mahisagar,934.1,986.2,Safe,Moderate,Within Limit,Within Limit,6.92,992,64.0,51.3,217,22.6,0.54
Surendranagar,658.0,577.3,Safe,Low,Within Limit,Within Limit,7.39,398,77.5,39.8,102,26.8,0.43
Dang,2516.5,2118.8,Safe,Moderate,Within Limit,Within Limit,7.4,1174,92.5,35.5,366,13.9,0.56
Amreli,645.3,693.4,Over-Exploited,High,Within Limit,Within Limit,7.57,1610,86.7,11.4,383,8.4,1.0
Ahmedabad,566.1,608.7,Safe,Moderate,Within Limit,Within Limit,7.09,1324,90.5,40.6,343,7.9,0.59
Surat,1390.3,1559.2,Safe,Moderate,Above Limit,Above Limit,8.28,521,75.5,42.9,130,46.0,1.65
Vadodara,973.2,855.6,Semi-Critical,High,Within Limit,Within Limit,6.57,1787,112.9,45.3,603,10.5,1.15
Rajkot,635.4,546.2,Safe,Moderate,Within Limit,Within Limit,7.92,836,62.4,45.7,381,19.6,1.04
Gandhinagar,593.1,717.3,Over-Exploited,Moderate,Above Limit,Within Limit,7.86,1156,42.2,64.1,292,103.5,1.04
Bhavnagar,683.4,610.0,Safe,High,Above Limit,Within Limit,7.64,1890,88.9,79.9,448,47.1,0.19
Jamnagar,584.0,625.9,Safe,Low,Above Limit,Within Limit,7.92,351,24.1,56.0,15,46.5,0.5
Junagadh,706.9,756.7,Safe,Moderate,Within Limit,Above Limit,7.04,1122,87.6,57.2,450,21.0,1.61
Kutch,378.4,384.0,Over-Exploited,High,Within Limit,Above Limit,7.76,2662,109.9,80.6,737,31.0,2.48
Banaskantha,478.9,459.8,Safe,Moderate,Within Limit,Within Limit,7.72,815,67.3,33.7,249,29.2,0.61
Patan,343.1,405.0,Over-Exploited,Very High,Within Limit,Within Limit,8.02,3043,110.9,102.6,785,5.9,0.67
Mehsana,544.3,583.9,Semi-Critical,Moderate,Within Limit,Within Limit,7.51,1149,77.3,58.9,436,23.1,1.14
Sabarkantha,733.6,622.3,Safe,Moderate,Within Limit,Within Limit,7.06,581,89.4,33.0,140,15.8,0.39
Aravalli,799.7,707.7,Safe,High,Above Limit,Within Limit,7.43,1610,78.6,60.4,301,51.0,0.77
Anand,871.8,737.9,Saline,High,Within Limit,Within Limit,7.23,2554,152.1,60.4,748,34.8,0.48
Kheda,748.9,771.6,Safe,Low,Within Limit,Within Limit,6.61,277,22.0,27.4,40,9.5,0.62
Panchmahal,865.9,900.3,Over-Exploited,Moderate,Above Limit,Within Limit,8.17,1055,77.1,60.8,215,58.2,0.58
Dahod,1172.3,1342.8,Safe,Low,Above Limit,Within Limit,7.32,422,61.3,18.7,273,59.8,0.65
Bharuch,1372.4,1187.5,Safe,Moderate,Above Limit,Within Limit,7.13,795,101.5,58.8,149,62.1,0.43
Narmada,1115.5,1237.9,Saline,High,Within Limit,Within Limit,7.45,2714,158.9,46.4,667,13.8,0.97
Tapi,1142.9,1560.5,Semi-Critical,Moderate,Within Limit,Above Limit,7.93,1245,93.6,41.8,378,7.6,1.51
Navsari,1759.6,1866.3,Safe,Moderate,Above Limit,Within Limit,7.81,840,100.1,41.5,432,59.8,1.1
Valsad,1858.5,1940.7,Safe,Moderate,Within Limit,Within Limit,7.36,902,112.1,29.5,316,4.0,1.0
Botad,791.6,683.6,Safe,Moderate,Within Limit,Within Limit,7.12,561,91.7,56.3,172,4.2,0.42
Chhota Udaipur,907.6,1092.0,Safe,Moderate,Above Limit,Above Limit,7.09,1239,83.3,65.0,389,94.7,1.85
Devbhoomi Dwarka,612.5,568.1,Safe,Moderate,Within Limit,Within Limit,7.87,877,88.0,35.7,307,14.9,0.54
Gir Somnath,1021.8,990.7,Safe,High,Within Limit,Within Limit,7.2,1745,56.6,53.2,507,23.1,0.69
Morbi,650.9,627.5,Safe,Moderate,Within Limit,Within Limit,6.67,1149,79.5,45.1,472,18.4,0.54
Porbandar,740.0,661.7,Safe,Moderate,Within Limit,Within Limit,7.06,565,89.6,44.4,172,6.9,1.12
Mahisagar,903.8,1013.4,Critical,Moderate,Within Limit,Within Limit,7.36,996,62.2,38.3,295,7.0,1.13
Surendranagar,514.2,564.5,Safe,Moderate,Within Limit,Within Limit,7.22,1084,77.4,44.7,259,13.2,0.79
Dang,2329.2,2197.4,Semi-Critical,Moderate,Within Limit,Within Limit,7.89,1127,52.4,60.6,305,33.9,0.98
Amreli,790.8,669.2,Safe,Moderate,Within Limit,Within Limit,7.57,1263,129.1,34.3,368,31.4,0.42
Ahmedabad,697.1,612.4,Safe,Moderate,Within Limit,Within Limit,7.75,594,59.3,69.2,11,44.8,0.93
Surat,1282.4,1321.4,Safe,Low,Within Limit,Above Limit,7.54,252,53.1,4.5,126,22.5,2.83
Vadodara,698.1,960.7,Saline,High,Within Limit,Above Limit,7.84,1920,65.9,47.2,530,13.1,2.08
Rajkot,652.4,649.8,Safe,Low,Within Limit,Within Limit,6.96,462,71.3,35.7,68,24.1,0.83
Gandhinagar,759.0,663.6,Over-Exploited,Moderate,Within Limit,Within Limit,7.3,1491,112.4,50.1,391,7.8,0.83
Bhavnagar,665.3,696.6,Safe,Low,Within Limit,Within Limit,7.8,360,88.2,44.2,148,28.0,0.32
Jamnagar,641.6,590.9,Safe,Moderate,Within Limit,Within Limit,7.76,980,110.3,26.2,334,16.3,0.61
Junagadh,908.5,1081.3,Over-Exploited,Moderate,Within Limit,Within Limit,7.31,1370,88.3,21.0,314,20.8,0.35
Kutch,422.9,388.1,Safe,Low,Within Limit,Above Limit,7.31,309,73.7,14.0,10,9.3,3.5
Banaskantha,509.1,554.7,Safe,Low,Within Limit,Within Limit,7.07,360,97.6,65.9,75,25.7,0.68
Patan,503.9,575.0,Safe,Moderate,Within Limit,Above Limit,6.86,1439,107.7,38.8,385,11.9,2.59
Mehsana,567.6,596.4,Saline,High,Above Limit,Above Limit,7.93,1655,25.1,62.0,387,120.0,3.5
Sabarkantha,672.4,701.6,Saline,High,Within Limit,Within Limit,7.15,2586,95.8,72.3,747,22.3,0.95
Aravalli,628.0,712.0,Safe,Low,Within Limit,Within Limit,7.71,454,70.7,39.8,191,19.1,0.85
Anand,947.7,877.7,Safe,Moderate,Within Limit,Above Limit,7.21,721,95.0,45.8,206,7.1,2.21
Kheda,738.0,712.4,Saline,Very High,Within Limit,Within Limit,7.26,6000,179.1,132.8,1455,5.3,0.65
Panchmahal,913.6,905.9,Safe,High,Above Limit,Within Limit,7.02,1872,94.6,80.7,496,98.0,0.7
Dahod,1034.8,1039.8,Safe,Moderate,Within Limit,Within Limit,7.24,935,86.7,41.8,385,30.0,0.81
Bharuch,1176.9,1072.6,Safe,Moderate,Within Limit,Within Limit,7.22,815,61.8,52.7,216,15.7,1.11
Narmada,1396.4,1307.1,Safe,Moderate,Within Limit,Within Limit,7.68,1334,86.9,55.9,530,17.1,0.42
Tapi,1647.8,1280.0,Safe,High,Within Limit,Within Limit,7.0,2626,138.2,84.9,758,29.9,0.51
Navsari,1886.8,1817.2,Saline,High,Within Limit,Within Limit,7.38,2589,137.8,84.1,767,42.2,0.92
Valsad,1905.3,2174.9,Critical,Moderate,Above Limit,Within Limit,7.68,834,87.6,48.1,333,63.3,0.42
Botad,600.8,655.0,Over-Exploited,High,Within Limit,Within Limit,7.69,2561,91.8,68.3,570,42.8,0.58
Chhota Udaipur,957.1,1002.0,Safe,Moderate,Within Limit,Within Limit,7.51,1136,72.9,45.5,311,9.5,0.26
Devbhoomi Dwarka,663.6,619.7,Safe,Moderate,Within Limit,Within Limit,8.22,792,63.9,41.3,287,28.5,0.69
Gir Somnath,985.1,995.5,Safe,Moderate,Within Limit,Within Limit,7.12,1205,35.4,42.9,486,38.0,0.31
Morbi,629.4,613.8,Safe,Moderate,Within Limit,Within Limit,6.97,639,56.5,31.2,357,33.4,0.52
Porbandar,668.1,671.1,Safe,Moderate,Within Limit,Within Limit,7.41,617,69.4,40.7,44,37.9,0.57
Mahisagar,1272.1,1019.5,Critical,Low,Within Limit,Within Limit,7.44,335,58.3,40.9,10,15.0,0.49
Surendranagar,820.8,681.4,Safe,Moderate,Within Limit,Within Limit,6.94,674,56.7,40.7,106,30.3,0.71
Dang,2358.0,2259.4,Safe,High,Within Limit,Within Limit,7.65,1830,102.5,61.2,349,23.1,1.16
Amreli,826.7,693.5,Safe,Low,Within Limit,Within Limit,7.1,328,53.9,35.1,80,7.4,0.65
Ahmedabad,771.6,707.5,Semi-Critical,Moderate,Within Limit,Within Limit,7.25,527,55.0,19.0,216,7.2,1.19
Surat,1777.9,1712.2,Safe,Moderate,Within Limit,Within Limit,7.64,1162,73.5,53.0,366,12.1,0.18
Vadodara,719.5,823.2,Safe,Moderate,Within Limit,Within Limit,6.81,1081,119.0,70.6,404,13.3,0.23
Rajkot,624.6,684.4,Safe,Moderate,Within Limit,Within Limit,7.64,1283,76.9,30.9,386,5.7,0.95
Gandhinagar,652.3,705.1,Safe,Low,Within Limit,Within Limit,8.05,325,55.8,31.8,218,12.7,0.51
Bhavnagar,695.6,750.5,Over-Exploited,High,Above Limit,Within Limit,7.46,2756,117.8,63.7,723,83.5,1.34
Jamnagar,477.5,551.9,Safe,Moderate,Within Limit,Within Limit,7.66,1007,95.5,43.9,234,10.5,0.2
Junagadh,730.6,1019.8,Safe,Moderate,Within Limit,Within Limit,6.69,692,62.2,49.0,40,26.5,1.35
Kutch,497.7,333.3,Safe,Low,Within Limit,Within Limit,6.71,208,58.1,28.9,111,42.0,0.38
Banaskantha,380.0,432.1,Safe,Moderate,Within Limit,Within Limit,7.72,1485,88.3,44.6,409,26.7,0.85
Patan,362.9,459.0,Safe,Moderate,Within Limit,Within Limit,7.69,685,52.5,46.4,78,21.2,0.5
Mehsana,414.2,452.5,Safe,Low,Within Limit,Within Limit,7.29,375,75.8,42.5,10,31.7,1.02
Sabarkantha,575.9,677.4,Safe,Moderate,Within Limit,Within Limit,8.04,626,84.5,54.0,127,13.1,0.37
Aravalli,832.3,710.1,Safe,Moderate,Within Limit,Within Limit,7.12,611,77.0,30.5,210,12.7,0.9
Anand,676.6,777.2,Semi-Critical,High,Within Limit,Within Limit,8.13,1506,100.1,30.1,408,24.3,0.29
Kheda,621.4,747.8,Semi-Critical,Low,Within Limit,Within Limit,7.54,431,67.6,20.0,152,15.0,1.36
Panchmahal,666.4,747.9,Safe,High,Within Limit,Within Limit,6.93,1988,78.1,52.1,649,27.6,0.42
Dahod,1047.0,1092.7,Over-Exploited,High,Within Limit,Within Limit,7.38,1878,101.5,53.4,625,19.3,0.55
Bharuch,1268.7,1191.9,Semi-Critical,Low,Above Limit,Within Limit,6.2,463,80.1,30.4,169,51.5,0.45
Narmada,878.1,1087.5,Safe,Very High,Within Limit,Within Limit,7.88,3001,133.4,46.1,686,35.1,1.02
Tapi,1308.7,1565.6,Over-Exploited,High,Within Limit,Above Limit,8.12,2542,119.6,56.8,808,22.9,2.13
Navsari,2164.7,1752.3,Saline,High,Within Limit,Within Limit,7.14,1998,116.5,58.9,580,8.9,0.44
Valsad,2023.4,1942.8,Safe,Moderate,Within Limit,Within Limit,7.83,502,67.9,63.1,91,26.3,1.05
Botad,649.9,653.6,Semi-Critical,Moderate,Within Limit,Within Limit,6.91,1330,92.3,35.2,336,24.8,1.41
Chhota Udaipur,1195.5,980.9,Saline,Very High,Within Limit,Within Limit,7.42,4127,121.2,114.8,1119,28.9,0.53
Devbhoomi Dwarka,582.8,629.7,Semi-Critical,High,Within Limit,Within Limit,7.9,1659,90.1,46.1,528,33.7,0.4
Gir Somnath,1249.8,975.7,Safe,Moderate,Within Limit,Above Limit,7.49,796,86.8,33.6,310,27.1,1.57
Morbi,522.3,495.7,Semi-Critical,Moderate,Within Limit,Within Limit,6.83,907,72.8,49.5,281,19.6,0.79
Porbandar,835.6,675.2,Over-Exploited,High,Within Limit,Within Limit,7.52,1768,68.8,51.8,450,19.5,0.66
Mahisagar,876.4,902.7,Semi-Critical,Low,Within Limit,Within Limit,7.64,418,84.5,43.7,223,37.5,0.37
Surendranagar,739.8,674.6,Safe,Low,Within Limit,Above Limit,7.1,254,40.4,40.3,71,20.4,2.26
Dang,2201.3,2440.7,Saline,Very High,Within Limit,Above Limit,8.13,3143,104.6,91.7,822,9.4,1.98
Amreli,665.2,677.1,Safe,Moderate,Within Limit,Within Limit,7.82,647,92.6,28.6,221,26.9,1.44
Ahmedabad,733.1,615.6,Safe,Moderate,Within Limit,Within Limit,7.02,1304,95.8,56.9,319,28.1,0.8
Surat,762.1,1321.3,Saline,Very High,Above Limit,Above Limit,7.35,6000,182.2,104.6,1502,113.3,3.41
Vadodara,770.3,763.9,Safe,High,Above Limit,Within Limit,7.48,2454,122.8,64.3,705,63.6,1.09
Rajkot,524.7,575.2,Safe,Moderate,Within Limit,Within Limit,7.37,1272,74.5,32.7,288,11.3,1.05
Gandhinagar,666.6,652.4,Over-Exploited,High,Within Limit,Within Limit,7.71,1623,76.0,78.6,315,15.4,0.62
Bhavnagar,445.2,610.5,Saline,Very High,Within Limit,Within Limit,7.73,4586,161.7,87.9,1156,15.3,0.69
Jamnagar,622.7,659.8,Safe,Low,Within Limit,Within Limit,7.46,478,70.4,44.7,281,14.4,1.4
Junagadh,1023.1,910.4,Over-Exploited,High,Within Limit,Above Limit,7.1,2777,155.1,74.4,653,8.0,1.94
Kutch,468.4,402.6,Safe,Moderate,Above Limit,Within Limit,7.25,578,40.0,34.3,208,66.4,0.68
Banaskantha,505.0,483.3,Semi-Critical,Moderate,Within Limit,Within Limit,8.02,1333,72.7,47.4,394,16.2,0.55
Patan,429.7,508.9,Semi-Critical,Moderate,Within Limit,Within Limit,6.91,556,71.4,32.5,145,20.3,0.18
Mehsana,548.8,535.2,Safe,Moderate,Within Limit,Within Limit,7.64,1436,114.1,30.0,493,25.4,0.58
Sabarkantha,955.8,705.8,Critical,Moderate,Above Limit,Within Limit,7.43,873,94.6,39.8,205,61.5,0.34
Aravalli,746.8,752.6,Safe,Low,Within Limit,Within Limit,6.87,485,67.2,42.8,255,10.8,0.5
Anand,849.5,891.6,Safe,Moderate,Within Limit,Within Limit,7.89,655,40.2,21.8,325,12.4,0.58
Kheda,724.2,753.0,Critical,Moderate,Within Limit,Above Limit,7.46,607,97.2,27.1,155,20.5,2.05
Panchmahal,779.4,878.3,Safe,Low,Within Limit,Above Limit,7.1,238,47.4,15.7,115,16.2,1.88
Dahod,1249.8,1118.7,Safe,Moderate,Within Limit,Within Limit,7.05,722,86.8,23.9,323,11.0,1.25
Bharuch,1006.4,1132.6,Safe,High,Within Limit,Above Limit,8.17,1654,78.1,45.0,469,40.0,1.67
Narmada,1184.9,1164.2,Saline,High,Within Limit,Above Limit,7.23,2097,91.3,41.0,643,21.7,2.0
Tapi,1628.4,1704.4,Safe,Low,Within Limit,Within Limit,8.15,403,34.1,30.9,125,11.9,0.48
Navsari,1492.1,1637.2,Safe,Moderate,Within Limit,Within Limit,7.52,776,65.0,33.7,161,22.9,0.82
Valsad,1935.2,2056.9,Critical,Low,Within Limit,Within Limit,7.39,463,79.7,23.6,116,7.5,0.4
Botad,549.6,612.7,Over-Exploited,High,Within Limit,Within Limit,7.41,2238,130.1,82.7,611,4.0,1.02
Chhota Udaipur,1281.4,1199.2,Saline,High,Within Limit,Within Limit,7.3,2976,96.0,84.0,778,25.7,0.56
Devbhoomi Dwarka,737.9,720.0,Safe,Moderate,Within Limit,Within Limit,6.95,637,44.8,48.9,163,14.0,0.58
Gir Somnath,872.7,909.0,Safe,Moderate,Within Limit,Within Limit,7.0,828,83.2,24.1,222,26.8,0.79
Morbi,289.0,497.9,Semi-Critical,Moderate,Within Limit,Within Limit,7.68,1124,91.2,43.5,311,18.4,1.14
Porbandar,722.8,692.9,Safe,High,Within Limit,Within Limit,7.01,1760,91.5,43.5,459,18.4,0.47
Mahisagar,675.2,825.5,Critical,Moderate,Within Limit,Within Limit,7.13,1044,76.5,46.4,384,15.9,0.93
Surendranagar,531.3,543.4,Saline,High,Within Limit,Within Limit,7.34,1533,93.2,49.5,399,24.8,0.63
Dang,1867.8,2131.0,Safe,Moderate,Within Limit,Within Limit,7.38,1084,72.1,30.7,508,1.8,0.51
Amreli,747.9,674.3,Safe,Moderate,Within Limit,Within Limit,7.47,662,64.4,67.6,247,11.9,1.22
Ahmedabad,791.2,636.0,Over-Exploited,High,Above Limit,Within Limit,7.52,2948,114.2,64.7,858,63.9,0.67
Surat,1640.9,1552.4,Safe,Moderate,Within Limit,Within Limit,7.09,1365,96.2,84.1,399,28.8,1.0
Vadodara,813.3,940.6,Safe,High,Within Limit,Within Limit,7.44,2733,125.6,72.3,809,13.4,0.37
Rajkot,672.1,633.7,Safe,Moderate,Within Limit,Within Limit,7.13,650,80.0,25.8,291,15.6,1.08
Gandhinagar,726.3,618.1,Safe,Moderate,Within Limit,Within Limit,7.65,1060,55.4,34.7,331,8.4,0.55
Bhavnagar,642.3,687.8,Safe,Moderate,Above Limit,Within Limit,7.07,1001,92.0,28.2,348,112.9,0.58
Jamnagar,672.4,586.9,Safe,Moderate,Within Limit,Within Limit,6.93,832,83.4,45.7,207,11.7,1.35
Junagadh,676.8,827.5,Critical,Moderate,Within Limit,Above Limit,7.75,503,64.8,29.1,170,29.5,2.01
Kutch,481.6,364.0,Safe,Moderate,Within Limit,Within Limit,7.28,1241,102.6,58.2,453,36.1,0.86
Banaskantha,486.1,476.0,Critical,Low,Within Limit,Within Limit,7.33,329,43.0,41.8,199,25.7,0.73
Patan,585.7,507.6,Safe,Moderate,Within Limit,Within Limit,6.98,1446,94.0,56.6,395,6.7,0.23
Mehsana,439.5,558.0,Safe,Moderate,Within Limit,Within Limit,7.67,584,80.0,29.8,268,30.5,0.6
Sabarkantha,820.1,781.1,Safe,Moderate,Within Limit,Within Limit,6.58,501,74.5,29.9,177,16.5,0.21
Aravalli,633.2,732.5,Over-Exploited,Moderate,Within Limit,Above Limit,7.17,1163,84.5,51.9,378,2.9,1.88
Anand,700.9,702.1,Safe,Low,Within Limit,Within Limit,7.52,487,33.1,60.5,143,29.8,0.49
Kheda,756.2,879.7,Critical,Low,Within Limit,Within Limit,7.95,165,39.8,31.4,216,14.5,0.94
Panchmahal,963.1,959.8,Safe,High,Within Limit,Within Limit,7.68,1746,77.0,67.2,484,19.5,0.98
Dahod,1054.6,1179.8,Safe,High,Within Limit,Within Limit,7.9,1751,82.4,82.6,474,31.5,0.61
Bharuch,1113.2,1171.0,Safe,Moderate,Within Limit,Within Limit,6.35,880,68.2,34.7,119,37.0,0.63
Narmada,1108.4,1018.2,Over-Exploited,High,Within Limit,Above Limit,7.35,2586,81.5,40.5,599,10.3,2.23
Tapi,1332.3,1574.1,Safe,Moderate,Within Limit,Within Limit,7.83,553,82.2,39.0,175,20.1,0.88
Navsari,1794.5,1774.1,Saline,High,Within Limit,Within Limit,7.06,2151,97.8,67.2,530,28.0,1.32
Valsad,1924.8,2051.2,Safe,Moderate,Within Limit,Within Limit,7.46,847,80.9,65.1,169,23.6,0.63
Botad,483.4,577.7,Safe,Moderate,Within Limit,Within Limit,6.84,1354,93.1,52.3,320,39.0,0.39
Chhota Udaipur,910.6,1052.4,Critical,Moderate,Within Limit,Within Limit,7.87,1266,90.3,87.1,402,33.2,1.46
Devbhoomi Dwarka,617.0,586.4,Safe,Low,Above Limit,Within Limit,6.87,448,90.8,24.0,177,73.8,0.27
Gir Somnath,1051.5,1054.3,Safe,Moderate,Within Limit,Within Limit,7.42,767,75.7,49.4,158,29.9,0.41
Morbi,677.3,685.2,Safe,Moderate,Within Limit,Within Limit,8.11,891,62.3,43.2,160,9.2,0.34
Porbandar,788.1,742.6,Critical,Moderate,Above Limit,Within Limit,7.2,615,91.7,39.2,134,47.2,0.73
Mahisagar,1010.2,1001.9,Critical,High,Within Limit,Within Limit,7.32,2783,75.5,68.3,767,28.9,1.3
Surendranagar,688.3,571.0,Safe,Moderate,Within Limit,Above Limit,7.45,1427,74.7,80.3,465,13.5,1.86
Dang,2614.0,2236.7,Safe,Low,Within Limit,Within Limit,7.32,482,97.3,27.2,150,2.2,1.02
Amreli,687.9,761.6,Safe,Moderate,Within Limit,Within Limit,7.18,1046,50.7,40.8,266,22.1,0.67
Ahmedabad,678.4,725.8,Over-Exploited,Moderate,Within Limit,Within Limit,7.5,1406,87.1,43.1,406,30.4,1.37
Surat,1341.6,1252.9,Safe,Moderate,Within Limit,Above Limit,7.86,534,89.3,51.9,137,6.6,1.72
Vadodara,765.3,985.7,Safe,High,Within Limit,Within Limit,7.54,1826,99.2,45.0,588,13.8,0.61
Rajkot,466.6,526.1,Safe,Low,Within Limit,Within Limit,6.57,441,100.0,34.7,46,9.3,0.56
Gandhinagar,712.2,648.2,Safe,Moderate,Within Limit,Within Limit,7.44,681,68.3,57.7,330,18.0,0.45
Bhavnagar,411.3,644.5,Safe,Moderate,Within Limit,Within Limit,6.86,966,74.9,51.6,246,14.1,0.93
Jamnagar,661.4,592.1,Over-Exploited,High,Within Limit,Within Limit,7.63,2208,91.5,71.7,542,18.7,0.16
Junagadh,1174.8,984.9,Safe,Moderate,Above Limit,Within Limit,6.77,916,74.0,44.8,280,120.0,0.69
Kutch,336.7,326.9,Safe,Moderate,Within Limit,Within Limit,7.1,734,39.5,52.0,164,8.9,0.49
Banaskantha,476.1,426.9,Safe,Moderate,Above Limit,Within Limit,7.48,1095,96.1,52.9,371,86.1,1.44
Patan,466.9,527.6,Safe,Low,Within Limit,Above Limit,6.7,307,85.1,26.2,133,9.3,3.0
Mehsana,475.9,466.2,Safe,Moderate,Above Limit,Within Limit,7.41,645,66.5,26.3,122,103.0,0.67
Sabarkantha,590.7,718.3,Saline,Moderate,Within Limit,Within Limit,7.13,867,94.8,43.4,224,28.2,0.58
Aravalli,960.2,832.6,Safe,Moderate,Above Limit,Within Limit,7.09,566,69.9,44.9,170,46.2,0.94
Anand,764.3,865.3,Safe,Moderate,Within Limit,Above Limit,7.61,561,72.3,35.6,149,21.4,1.88
Kheda,645.8,659.5,Saline,High,Within Limit,Within Limit,6.97,2368,104.2,40.9,595,16.1,0.8
Panchmahal,947.7,1037.5,Critical,Low,Within Limit,Within Limit,7.8,361,5.0,26.1,114,9.4,0.76
Dahod,817.4,1043.8,Over-Exploited,High,Within Limit,Within Limit,7.66,2043,81.1,52.5,709,28.6,0.8
Bharuch,1029.4,1240.2,Safe,Low,Within Limit,Within Limit,7.47,236,81.5,7.9,10,37.7,0.4
Narmada,1205.9,1174.4,Over-Exploited,High,Within Limit,Within Limit,7.28,2418,118.2,47.7,702,9.7,0.35
Tapi,2209.3,1861.6,Safe,Moderate,Within Limit,Within Limit,8.02,874,71.0,41.1,254,9.6,0.2
Navsari,2019.2,1758.8,Safe,Moderate,Within Limit,Within Limit,7.73,944,86.7,31.5,306,15.3,0.42
Valsad,1844.2,2137.9,Safe,Moderate,Within Limit,Within Limit,8.29,539,84.8,41.8,11,18.2,0.4
Botad,621.8,636.1,Safe,Low,Within Limit,Above Limit,7.87,478,88.7,20.3,296,8.0,2.17
Chhota Udaipur,1029.7,1081.7,Safe,High,Within Limit,Above Limit,7.33,1955,121.0,39.8,541,29.2,1.64
Devbhoomi Dwarka,659.0,655.6,Safe,Moderate,Within Limit,Within Limit,7.11,1063,93.3,53.1,254,22.1,1.27
Gir Somnath,1351.8,1203.7,Safe,Moderate,Within Limit,Within Limit,7.51,916,75.4,45.4,341,36.5,0.76
Morbi,509.0,525.0,Safe,Low,Within Limit,Within Limit,6.91,485,81.9,42.4,98,15.4,0.96
Porbandar,748.9,713.7,Safe,Moderate,Above Limit,Above Limit,7.54,506,69.2,49.2,263,120.0,1.76
